hole_id,depth,dip,azimuth
WE-1651,17.77,-90.0,0.0
WE-1654,9.18,-90.0,0.0
WE-1653,17.31,-90.0,0.0
WE-1640,24.64,-90.0,0.0
WE-1639,20.84,-90.0,0.0
WE-1642,16.36,-90.0,0.0
WE-1641,20.23,-90.0,0.0
WE-1644,21.68,-90.0,0.0
WE-1643,21.76,-90.0,0.0
WE-1646,19.66,-90.0,0.0
WE-1645,19.64,-90.0,0.0
WE-1664,10.29,-90.0,0.0
WE-1663,11.2,-90.0,0.0
WE-1666,19.94,-90.0,0.0
WE-1665,22.04,-90.0,0.0
WE-1668,9.4,-90.0,0.0
WE-1667,19.88,-90.0,0.0
WE-1670,14.2,-90.0,0.0
WE-1669,16.02,-90.0,0.0
WE-1656,24.68,-90.0,0.0
WE-1655,24.5,-90.0,0.0
WE-1658,10.33,-90.0,0.0
WE-1657,14.02,-90.0,0.0
WE-1660,15.86,-90.0,0.0
WE-1659,23.93,-90.0,0.0
WE-1662,23.95,-90.0,0.0
WE-1661,9.81,-90.0,0.0
WE-1616,10.3,-90.0,0.0
WE-1615,15.03,-90.0,0.0
WE-1618,11.33,-90.0,0.0
WE-1617,19.38,-90.0,0.0
WE-1620,23.58,-90.0,0.0
WE-1619,18.44,-90.0,0.0
WE-1622,20.61,-90.0,0.0
WE-1621,15.3,-90.0,0.0
WE-1608,21.81,-90.0,0.0
WE-1607,23.25,-90.0,0.0
WE-1610,21.88,-90.0,0.0
WE-1609,22.23,-90.0,0.0
WE-1612,24.78,-90.0,0.0
WE-1611,24.36,-90.0,0.0
WE-1614,13.38,-90.0,0.0
WE-1613,18.49,-90.0,0.0
WE-1632,16.06,-90.0,0.0
WE-1631,14.6,-90.0,0.0
WE-1634,24.4,-90.0,0.0
WE-1633,11.18,-90.0,0.0
WE-1636,22.37,-90.0,0.0
WE-1635,18.71,-90.0,0.0
WE-1638,15.54,-90.0,0.0
WE-1637,22.85,-90.0,0.0
WE-1624,16.49,-90.0,0.0
WE-1623,24.78,-90.0,0.0
WE-1626,17.26,-90.0,0.0
WE-1625,21.26,-90.0,0.0
WE-1628,19.61,-90.0,0.0
WE-1627,16.5,-90.0,0.0
WE-1630,18.42,-90.0,0.0
WE-1629,20.9,-90.0,0.0
WE-1584,23.62,-90.0,0.0
WE-1583,15.7,-90.0,0.0
WE-1586,17.22,-90.0,0.0
WE-1585,18.0,-90.0,0.0
WE-1588,9.98,-90.0,0.0
WE-1587,17.23,-90.0,0.0
WE-1590,20.8,-90.0,0.0
WE-1589,20.58,-90.0,0.0
WE-1576,19.49,-90.0,0.0
WE-1575,22.72,-90.0,0.0
WE-1578,24.59,-90.0,0.0
WE-1577,20.71,-90.0,0.0
WE-1580,18.99,-90.0,0.0
WE-1579,19.95,-90.0,0.0
WE-1582,18.26,-90.0,0.0
WE-1581,15.0,-90.0,0.0
WE-1600,15.2,-90.0,0.0
WE-1599,23.67,-90.0,0.0
WE-1602,12.29,-90.0,0.0
WE-1601,10.29,-90.0,0.0
WE-1604,24.23,-90.0,0.0
WE-1603,24.77,-90.0,0.0
WE-1606,23.41,-90.0,0.0
WE-1605,17.14,-90.0,0.0
WE-1592,21.47,-90.0,0.0
WE-1591,23.8,-90.0,0.0
WE-1594,16.54,-90.0,0.0
WE-1593,21.98,-90.0,0.0
WE-1596,18.05,-90.0,0.0
WE-1595,11.37,-90.0,0.0
WE-1598,23.2,-90.0,0.0
WE-1597,22.57,-90.0,0.0
WE-1552,23.72,-90.0,0.0
WE-1551,18.95,-90.0,0.0
WE-1554,24.08,-90.0,0.0
WE-1553,24.12,-90.0,0.0
WE-1556,18.61,-90.0,0.0
WE-1555,20.33,-90.0,0.0
WE-1558,22.82,-90.0,0.0
WE-1557,18.99,-90.0,0.0
WE-1544,22.1,-90.0,0.0
WE-1543,16.06,-90.0,0.0
WE-1546,12.02,-90.0,0.0
WE-1545,19.23,-90.0,0.0
WE-1548,20.55,-90.0,0.0
WE-1547,9.9,-90.0,0.0
WE-1550,10.26,-90.0,0.0
WE-1549,21.79,-90.0,0.0
WE-1568,21.27,-90.0,0.0
WE-1567,21.33,-90.0,0.0
WE-1570,11.08,-90.0,0.0
WE-1569,21.54,-90.0,0.0
WE-1572,22.05,-90.0,0.0
WE-1571,18.66,-90.0,0.0
WE-1574,23.8,-90.0,0.0
WE-1573,17.95,-90.0,0.0
WE-1560,12.17,-90.0,0.0
WE-1559,13.34,-90.0,0.0
WE-1562,21.75,-90.0,0.0
WE-1561,15.23,-90.0,0.0
WE-1564,23.31,-90.0,0.0
WE-1563,17.41,-90.0,0.0
WE-1566,14.13,-90.0,0.0
WE-1565,16.84,-90.0,0.0
WE-1520,9.09,-90.0,0.0
WE-1519,20.15,-90.0,0.0
WE-1522,20.42,-90.0,0.0
WE-1521,22.51,-90.0,0.0
WE-1524,18.87,-90.0,0.0
WE-1523,24.17,-90.0,0.0
WE-1526,15.57,-90.0,0.0
WE-1525,23.89,-90.0,0.0
WE-1512,21.54,-90.0,0.0
WE-1511,14.55,-90.0,0.0
WE-1514,18.6,-90.0,0.0
WE-1513,22.62,-90.0,0.0
WE-1516,22.09,-90.0,0.0
WE-1515,24.22,-90.0,0.0
WE-1518,24.16,-90.0,0.0
WE-1517,9.07,-90.0,0.0
WE-1536,18.76,-90.0,0.0
WE-1535,15.31,-90.0,0.0
WE-1538,20.51,-90.0,0.0
WE-1537,19.53,-90.0,0.0
WE-1540,13.08,-90.0,0.0
WE-1539,19.91,-90.0,0.0
WE-1542,12.95,-90.0,0.0
WE-1541,24.02,-90.0,0.0
WE-1528,22.97,-90.0,0.0
WE-1527,18.61,-90.0,0.0
WE-1530,21.58,-90.0,0.0
WE-1529,10.01,-90.0,0.0
WE-1532,23.37,-90.0,0.0
WE-1531,15.94,-90.0,0.0
WE-1534,18.06,-90.0,0.0
WE-1533,24.95,-90.0,0.0
WE-1488,17.49,-90.0,0.0
WE-1487,21.04,-90.0,0.0
WE-1490,17.39,-90.0,0.0
WE-1489,24.04,-90.0,0.0
WE-1492,20.87,-90.0,0.0
WE-1491,22.6,-90.0,0.0
WE-1494,13.43,-90.0,0.0
WE-1493,12.9,-90.0,0.0
WE-1480,13.55,-90.0,0.0
WE-1479,24.64,-90.0,0.0
WE-1482,20.18,-90.0,0.0
WE-1481,23.86,-90.0,0.0
WE-1484,22.25,-90.0,0.0
WE-1483,21.02,-90.0,0.0
WE-1486,17.14,-90.0,0.0
WE-1485,18.88,-90.0,0.0
WE-1504,18.35,-90.0,0.0
WE-1503,24.27,-90.0,0.0
WE-1506,18.71,-90.0,0.0
WE-1505,21.19,-90.0,0.0
WE-1508,24.07,-90.0,0.0
WE-1507,22.03,-90.0,0.0
WE-1510,17.03,-90.0,0.0
WE-1509,18.67,-90.0,0.0
WE-1496,15.78,-90.0,0.0
WE-1495,19.71,-90.0,0.0
WE-1498,22.4,-90.0,0.0
WE-1497,17.15,-90.0,0.0
WE-1500,23.57,-90.0,0.0
WE-1499,16.53,-90.0,0.0
WE-1502,23.16,-90.0,0.0
WE-1501,22.37,-90.0,0.0
WE-1456,13.25,-90.0,0.0
WE-1455,23.25,-90.0,0.0
WE-1458,16.69,-90.0,0.0
WE-1457,24.6,-90.0,0.0
WE-1460,19.89,-90.0,0.0
WE-1459,21.31,-90.0,0.0
WE-1462,16.29,-90.0,0.0
WE-1461,24.31,-90.0,0.0
WE-1448,12.28,-90.0,0.0
WE-1447,22.95,-90.0,0.0
WE-1450,22.21,-90.0,0.0
WE-1449,19.48,-90.0,0.0
WE-1452,18.45,-90.0,0.0
WE-1451,19.27,-90.0,0.0
WE-1454,22.84,-90.0,0.0
WE-1453,15.98,-90.0,0.0
WE-1472,16.66,-90.0,0.0
WE-1471,22.36,-90.0,0.0
WE-1474,24.58,-90.0,0.0
WE-1473,23.23,-90.0,0.0
WE-1476,21.46,-90.0,0.0
WE-1475,23.61,-90.0,0.0
WE-1478,23.35,-90.0,0.0
WE-1477,16.63,-90.0,0.0
WE-1464,15.84,-90.0,0.0
WE-1463,17.49,-90.0,0.0
WE-1466,15.87,-90.0,0.0
WE-1465,17.27,-90.0,0.0
WE-1468,15.54,-90.0,0.0
WE-1467,19.02,-90.0,0.0
WE-1470,19.23,-90.0,0.0
WE-1469,18.37,-90.0,0.0
WE-1424,22.09,-90.0,0.0
WE-1423,12.48,-90.0,0.0
WE-1426,11.87,-90.0,0.0
WE-1425,16.53,-90.0,0.0
WE-1428,15.26,-90.0,0.0
WE-1427,17.17,-90.0,0.0
WE-1430,19.59,-90.0,0.0
WE-1429,17.59,-90.0,0.0
WE-1416,23.83,-90.0,0.0
WE-1415,17.66,-90.0,0.0
WE-1418,15.33,-90.0,0.0
WE-1417,22.82,-90.0,0.0
WE-1420,24.03,-90.0,0.0
WE-1419,14.61,-90.0,0.0
WE-1422,20.3,-90.0,0.0
WE-1421,23.77,-90.0,0.0
WE-1440,16.85,-90.0,0.0
WE-1439,17.72,-90.0,0.0
WE-1442,17.97,-90.0,0.0
WE-1441,21.8,-90.0,0.0
WE-1444,21.57,-90.0,0.0
WE-1443,18.78,-90.0,0.0
WE-1446,20.89,-90.0,0.0
WE-1445,22.21,-90.0,0.0
WE-1432,10.72,-90.0,0.0
WE-1431,16.53,-90.0,0.0
WE-1434,14.73,-90.0,0.0
WE-1433,18.13,-90.0,0.0
WE-1436,18.47,-90.0,0.0
WE-1435,21.22,-90.0,0.0
WE-1438,15.95,-90.0,0.0
WE-1437,22.63,-90.0,0.0
WE-1392,17.17,-90.0,0.0
WE-1391,16.26,-90.0,0.0
WE-1394,18.79,-90.0,0.0
WE-1393,24.67,-90.0,0.0
WE-1396,23.44,-90.0,0.0
WE-1395,23.54,-90.0,0.0
WE-1398,24.23,-90.0,0.0
WE-1397,18.0,-90.0,0.0
WE-1384,24.67,-90.0,0.0
WE-1383,9.14,-90.0,0.0
WE-1386,19.13,-90.0,0.0
WE-1385,18.03,-90.0,0.0
WE-1388,23.16,-90.0,0.0
WE-1387,19.72,-90.0,0.0
WE-1390,21.99,-90.0,0.0
WE-1389,22.75,-90.0,0.0
WE-1408,16.45,-90.0,0.0
WE-1407,19.9,-90.0,0.0
WE-1410,20.38,-90.0,0.0
WE-1409,19.96,-90.0,0.0
WE-1412,20.1,-90.0,0.0
WE-1411,22.57,-90.0,0.0
WE-1414,22.86,-90.0,0.0
WE-1413,17.69,-90.0,0.0
WE-1400,11.94,-90.0,0.0
WE-1399,22.41,-90.0,0.0
WE-1402,16.71,-90.0,0.0
WE-1401,18.3,-90.0,0.0
WE-1404,24.38,-90.0,0.0
WE-1403,21.29,-90.0,0.0
WE-1406,14.9,-90.0,0.0
WE-1405,23.44,-90.0,0.0
WE-1360,15.87,-90.0,0.0
WE-1359,23.14,-90.0,0.0
WE-1362,21.94,-90.0,0.0
WE-1361,19.21,-90.0,0.0
WE-1364,21.33,-90.0,0.0
WE-1363,20.35,-90.0,0.0
WE-1366,22.17,-90.0,0.0
WE-1365,23.17,-90.0,0.0
WE-1352,23.94,-90.0,0.0
WE-1351,16.84,-90.0,0.0
WE-1354,20.21,-90.0,0.0
WE-1353,20.99,-90.0,0.0
WE-1356,15.7,-90.0,0.0
WE-1355,17.74,-90.0,0.0
WE-1358,18.98,-90.0,0.0
WE-1357,16.06,-90.0,0.0
WE-1376,18.91,-90.0,0.0
WE-1375,22.53,-90.0,0.0
WE-1378,23.12,-90.0,0.0
WE-1377,10.3,-90.0,0.0
WE-1380,16.53,-90.0,0.0
WE-1379,14.09,-90.0,0.0
WE-1382,18.15,-90.0,0.0
WE-1381,19.82,-90.0,0.0
WE-1368,18.67,-90.0,0.0
WE-1367,15.41,-90.0,0.0
WE-1370,23.21,-90.0,0.0
WE-1369,22.78,-90.0,0.0
WE-1372,17.42,-90.0,0.0
WE-1371,21.38,-90.0,0.0
WE-1374,19.29,-90.0,0.0
WE-1373,21.52,-90.0,0.0
WE-1328,14.34,-90.0,0.0
WE-1327,24.46,-90.0,0.0
WE-1330,17.67,-90.0,0.0
WE-1329,13.51,-90.0,0.0
WE-1332,15.9,-90.0,0.0
WE-1331,22.27,-90.0,0.0
WE-1334,22.28,-90.0,0.0
WE-1333,20.98,-90.0,0.0
WE-1320,13.89,-90.0,0.0
WE-1319,22.7,-90.0,0.0
WE-1322,24.41,-90.0,0.0
WE-1321,10.12,-90.0,0.0
WE-1324,18.61,-90.0,0.0
WE-1323,16.79,-90.0,0.0
WE-1326,20.67,-90.0,0.0
WE-1325,23.86,-90.0,0.0
WE-1344,15.47,-90.0,0.0
WE-1343,12.25,-90.0,0.0
WE-1346,24.29,-90.0,0.0
WE-1345,20.75,-90.0,0.0
WE-1348,19.85,-90.0,0.0
WE-1347,24.93,-90.0,0.0
WE-1350,10.58,-90.0,0.0
WE-1349,11.11,-90.0,0.0
WE-1336,20.49,-90.0,0.0
WE-1335,23.61,-90.0,0.0
WE-1338,18.63,-90.0,0.0
WE-1337,19.13,-90.0,0.0
WE-1340,22.04,-90.0,0.0
WE-1339,21.04,-90.0,0.0
WE-1342,20.09,-90.0,0.0
WE-1341,21.22,-90.0,0.0
WE-1296,21.26,-90.0,0.0
WE-1295,20.07,-90.0,0.0
WE-1298,18.29,-90.0,0.0
WE-1297,19.46,-90.0,0.0
WE-1300,12.22,-90.0,0.0
WE-1299,16.68,-90.0,0.0
WE-1302,18.19,-90.0,0.0
WE-1301,24.89,-90.0,0.0
WE-1288,14.95,-90.0,0.0
WE-1287,17.87,-90.0,0.0
WE-1290,16.96,-90.0,0.0
WE-1289,20.27,-90.0,0.0
WE-1292,17.18,-90.0,0.0
WE-1291,16.42,-90.0,0.0
WE-1294,19.9,-90.0,0.0
WE-1293,18.74,-90.0,0.0
WE-1312,19.59,-90.0,0.0
WE-1311,21.48,-90.0,0.0
WE-1314,24.88,-90.0,0.0
WE-1313,16.64,-90.0,0.0
WE-1316,22.66,-90.0,0.0
WE-1315,22.12,-90.0,0.0
WE-1318,16.57,-90.0,0.0
WE-1317,9.09,-90.0,0.0
WE-1304,11.55,-90.0,0.0
WE-1303,18.57,-90.0,0.0
WE-1306,23.59,-90.0,0.0
WE-1305,18.33,-90.0,0.0
WE-1308,9.69,-90.0,0.0
WE-1307,18.24,-90.0,0.0
WE-1310,17.56,-90.0,0.0
WE-1309,16.98,-90.0,0.0
WE-2287,18.05,-90.0,0.0
WE-2286,19.49,-90.0,0.0
WE-2289,23.25,-90.0,0.0
WE-2288,15.58,-90.0,0.0
WE-2291,20.08,-90.0,0.0
WE-2290,19.37,-90.0,0.0
WE-2293,24.68,-90.0,0.0
WE-2292,18.07,-90.0,0.0
WE-2279,12.64,-90.0,0.0
WE-2278,22.86,-90.0,0.0
WE-2281,22.23,-90.0,0.0
WE-2280,22.25,-90.0,0.0
WE-2283,13.15,-90.0,0.0
WE-2282,16.64,-90.0,0.0
WE-2285,10.99,-90.0,0.0
WE-2284,15.18,-90.0,0.0
WE-2303,14.08,-90.0,0.0
WE-2302,22.65,-90.0,0.0
WE-2305,20.34,-90.0,0.0
WE-2304,24.95,-90.0,0.0
WE-2307,22.5,-90.0,0.0
WE-2306,15.53,-90.0,0.0
WE-2309,16.57,-90.0,0.0
WE-2308,20.43,-90.0,0.0
WE-2295,16.06,-90.0,0.0
WE-2294,15.18,-90.0,0.0
WE-2297,18.7,-90.0,0.0
WE-2296,23.55,-90.0,0.0
WE-2299,15.97,-90.0,0.0
WE-2298,19.29,-90.0,0.0
WE-2301,14.71,-90.0,0.0
WE-2300,21.68,-90.0,0.0
WE-2255,9.94,-90.0,0.0
WE-2254,17.31,-90.0,0.0
WE-2257,23.5,-90.0,0.0
WE-2256,11.5,-90.0,0.0
WE-2259,17.15,-90.0,0.0
WE-2258,24.06,-90.0,0.0
WE-2261,22.12,-90.0,0.0
WE-2260,11.56,-90.0,0.0
WE-2247,23.19,-90.0,0.0
WE-2246,17.5,-90.0,0.0
WE-2249,20.77,-90.0,0.0
WE-2248,13.03,-90.0,0.0
WE-2251,22.81,-90.0,0.0
WE-2250,22.7,-90.0,0.0
WE-2253,19.62,-90.0,0.0
WE-2252,18.76,-90.0,0.0
WE-2271,9.6,-90.0,0.0
WE-2270,24.8,-90.0,0.0
WE-2273,18.61,-90.0,0.0
WE-2272,23.46,-90.0,0.0
WE-2275,16.23,-90.0,0.0
WE-2274,17.09,-90.0,0.0
WE-2277,20.9,-90.0,0.0
WE-2276,19.92,-90.0,0.0
WE-2263,16.3,-90.0,0.0
WE-2262,21.93,-90.0,0.0
WE-2265,24.19,-90.0,0.0
WE-2264,17.25,-90.0,0.0
WE-2267,21.23,-90.0,0.0
WE-2266,21.85,-90.0,0.0
WE-2269,15.8,-90.0,0.0
WE-2268,16.32,-90.0,0.0
WE-2223,18.64,-90.0,0.0
WE-2222,14.03,-90.0,0.0
WE-2225,19.18,-90.0,0.0
WE-2224,17.46,-90.0,0.0
WE-2227,18.25,-90.0,0.0
WE-2226,18.02,-90.0,0.0
WE-2229,24.37,-90.0,0.0
WE-2228,19.28,-90.0,0.0
WE-2215,21.78,-90.0,0.0
WE-2214,15.36,-90.0,0.0
WE-2217,9.15,-90.0,0.0
WE-2216,18.99,-90.0,0.0
WE-2219,19.84,-90.0,0.0
WE-2218,23.85,-90.0,0.0
WE-2221,22.51,-90.0,0.0
WE-2220,22.43,-90.0,0.0
WE-2239,22.43,-90.0,0.0
WE-2238,17.99,-90.0,0.0
WE-2241,14.29,-90.0,0.0
WE-2240,21.98,-90.0,0.0
WE-2243,17.37,-90.0,0.0
WE-2242,19.47,-90.0,0.0
WE-2245,9.54,-90.0,0.0
WE-2244,17.64,-90.0,0.0
WE-2231,18.63,-90.0,0.0
WE-2230,23.57,-90.0,0.0
WE-2233,15.9,-90.0,0.0
WE-2232,20.17,-90.0,0.0
WE-2235,24.66,-90.0,0.0
WE-2234,16.96,-90.0,0.0
WE-2237,23.66,-90.0,0.0
WE-2236,16.08,-90.0,0.0
WE-2191,24.95,-90.0,0.0
WE-2190,24.81,-90.0,0.0
WE-2193,16.47,-90.0,0.0
WE-2192,22.84,-90.0,0.0
WE-2195,16.69,-90.0,0.0
WE-2194,22.24,-90.0,0.0
WE-2197,17.07,-90.0,0.0
WE-2196,21.77,-90.0,0.0
WE-2183,23.75,-90.0,0.0
WE-2182,11.02,-90.0,0.0
WE-2185,18.96,-90.0,0.0
WE-2184,15.37,-90.0,0.0
WE-2187,20.1,-90.0,0.0
WE-2186,16.93,-90.0,0.0
WE-2189,24.52,-90.0,0.0
WE-2188,24.6,-90.0,0.0
WE-2207,16.88,-90.0,0.0
WE-2206,21.34,-90.0,0.0
WE-2209,17.38,-90.0,0.0
WE-2208,24.78,-90.0,0.0
WE-2211,16.66,-90.0,0.0
WE-2210,15.44,-90.0,0.0
WE-2213,11.75,-90.0,0.0
WE-2212,22.3,-90.0,0.0
WE-2199,19.77,-90.0,0.0
WE-2198,20.17,-90.0,0.0
WE-2201,22.47,-90.0,0.0
WE-2200,16.33,-90.0,0.0
WE-2203,15.3,-90.0,0.0
WE-2202,17.62,-90.0,0.0
WE-2205,23.68,-90.0,0.0
WE-2204,15.33,-90.0,0.0
WE-2159,21.76,-90.0,0.0
WE-2158,22.83,-90.0,0.0
WE-2161,17.2,-90.0,0.0
WE-2160,12.14,-90.0,0.0
WE-2163,17.28,-90.0,0.0
WE-2162,20.13,-90.0,0.0
WE-2165,12.0,-90.0,0.0
WE-2164,18.47,-90.0,0.0
WE-2151,19.57,-90.0,0.0
WE-2150,19.09,-90.0,0.0
WE-2153,13.17,-90.0,0.0
WE-2152,18.88,-90.0,0.0
WE-2155,10.5,-90.0,0.0
WE-2154,10.45,-90.0,0.0
WE-2157,17.09,-90.0,0.0
WE-2156,17.57,-90.0,0.0
WE-2175,15.9,-90.0,0.0
WE-2174,11.05,-90.0,0.0
WE-2177,22.79,-90.0,0.0
WE-2176,9.01,-90.0,0.0
WE-2179,24.67,-90.0,0.0
WE-2178,15.34,-90.0,0.0
WE-2181,16.45,-90.0,0.0
WE-2180,22.82,-90.0,0.0
WE-2167,21.25,-90.0,0.0
WE-2166,17.63,-90.0,0.0
WE-2169,10.42,-90.0,0.0
WE-2168,20.57,-90.0,0.0
WE-2171,23.86,-90.0,0.0
WE-2170,16.5,-90.0,0.0
WE-2173,23.69,-90.0,0.0
WE-2172,15.4,-90.0,0.0
WE-2127,15.73,-90.0,0.0
WE-2126,24.12,-90.0,0.0
WE-2129,14.95,-90.0,0.0
WE-2128,18.62,-90.0,0.0
WE-2131,16.82,-90.0,0.0
WE-2130,17.86,-90.0,0.0
WE-2133,17.55,-90.0,0.0
WE-2132,22.4,-90.0,0.0
WE-2119,16.22,-90.0,0.0
WE-2118,24.25,-90.0,0.0
WE-2121,21.11,-90.0,0.0
WE-2120,22.53,-90.0,0.0
WE-2123,12.47,-90.0,0.0
WE-2122,18.11,-90.0,0.0
WE-2125,15.59,-90.0,0.0
WE-2124,13.78,-90.0,0.0
WE-2143,19.06,-90.0,0.0
WE-2142,22.45,-90.0,0.0
WE-2145,23.16,-90.0,0.0
WE-2144,20.84,-90.0,0.0
WE-2147,23.95,-90.0,0.0
WE-2146,21.92,-90.0,0.0
WE-2149,22.52,-90.0,0.0
WE-2148,16.94,-90.0,0.0
WE-2135,23.93,-90.0,0.0
WE-2134,18.34,-90.0,0.0
WE-2137,21.6,-90.0,0.0
WE-2136,19.19,-90.0,0.0
WE-2139,20.27,-90.0,0.0
WE-2138,24.1,-90.0,0.0
WE-2141,9.5,-90.0,0.0
WE-2140,17.02,-90.0,0.0
WE-2095,21.87,-90.0,0.0
WE-2094,17.26,-90.0,0.0
WE-2097,24.31,-90.0,0.0
WE-2096,24.12,-90.0,0.0
WE-2099,14.12,-90.0,0.0
WE-2098,17.17,-90.0,0.0
WE-2101,20.88,-90.0,0.0
WE-2100,10.14,-90.0,0.0
WE-2087,24.07,-90.0,0.0
WE-2086,13.23,-90.0,0.0
WE-2089,10.88,-90.0,0.0
WE-2088,23.81,-90.0,0.0
WE-2091,18.21,-90.0,0.0
WE-2090,18.65,-90.0,0.0
WE-2093,20.29,-90.0,0.0
WE-2092,12.34,-90.0,0.0
WE-2111,22.4,-90.0,0.0
WE-2110,19.76,-90.0,0.0
WE-2113,15.7,-90.0,0.0
WE-2112,15.09,-90.0,0.0
WE-2115,19.57,-90.0,0.0
WE-2114,16.11,-90.0,0.0
WE-2117,19.3,-90.0,0.0
WE-2116,15.2,-90.0,0.0
WE-2103,16.04,-90.0,0.0
WE-2102,19.65,-90.0,0.0
WE-2105,17.0,-90.0,0.0
WE-2104,18.8,-90.0,0.0
WE-2107,13.89,-90.0,0.0
WE-2106,24.01,-90.0,0.0
WE-2109,15.43,-90.0,0.0
WE-2108,19.58,-90.0,0.0
