hole_id,y,x,z,max_depth
WE-1709,9621520,764700,242.33,18.82
WE-1728,9621470,764700,235.09,24.39
WE-1727,9621420,764700,230.86,15.16
WE-1730,9621370,764700,219.02,22.09
WE-1729,9621320,764700,205.68,20.16
WE-1732,9621270,764700,187.87,19.39
WE-1731,9621235,764700,177.68,13.75
WE-1734,9622020,764750,267.1,21.42
WE-1733,9621970,764750,283.71,17.12
WE-1720,9621920,764750,293.31,23.72
WE-1719,9621870,764750,273.92,14.93
WE-1722,9621820,764750,249.7,20.43
WE-1721,9621770,764750,238.63,14.74
WE-1724,9621720,764750,275.6,18.26
WE-1723,9621670,764750,302.63,24.51
WE-1726,9621620,764750,293.45,18.34
WE-1725,9621570,764750,266.19,22.57
WE-1680,9621520,764750,245.18,15.61
WE-1679,9621470,764750,227.59,9.97
WE-1682,9621420,764750,208.83,18.2
WE-1681,9621370,764750,196.1,23.01
WE-1684,9621320,764750,192.6,22.23
WE-1683,9621270,764750,174.0,17.19
WE-1686,9621235,764750,163.89,23.95
WE-1685,9622020,764800,283.15,22.43
WE-1672,9621970,764800,280.07,24.92
WE-1671,9621920,764800,307.73,9.18
WE-1674,9621870,764800,297.9,24.79
WE-1673,9621820,764800,274.18,23.91
WE-1676,9621770,764800,255.31,24.56
WE-1675,9621720,764800,281.52,13.11
WE-1678,9621670,764800,306.6,14.37
WE-1677,9621620,764800,286.29,17.86
WE-1696,9621570,764800,256.47,24.3
WE-1695,9621520,764800,230.18,15.74
WE-1698,9621470,764800,208.66,17.85
WE-1697,9621420,764800,195.37,14.22
WE-1700,9621370,764800,181.7,17.34
WE-1699,9621320,764800,175.96,15.77
WE-1702,9621270,764800,172.03,18.58
WE-1701,9621220,764802,171.91,19.08
WE-1688,9621170,764803,160.03,16.85
WE-1687,9621120,764803,155.42,14.16
WE-1690,9621070,764803,165.99,20.76
WE-1689,9621020,764803,174.88,15.35
WE-1692,9620970,764803,160.53,17.17
WE-1691,9620920,764803,138.54,14.79
WE-1694,9620870,764803,143.81,22.16
WE-1693,9620820,764803,170.45,16.81
WE-1648,9620770,764803,178.78,20.34
WE-1647,9620720,764803,167.12,11.56
WE-1650,9620670,764803,146.3,18.28
WE-1649,9620620,764803,153.02,12.49
WE-1652,9620570,764803,163.88,22.19
WE-1651,9620520,764803,151.36,17.77
WE-1654,9620470,764803,153.13,9.18
WE-1653,9620420,764803,160.79,17.31
WE-1640,9620370,764803,175.44,24.64
WE-1639,9620320,764803,198.32,20.84
WE-1642,9620270,764803,201.77,16.36
WE-1641,9620220,764803,198.1,20.23
WE-1644,9620170,764803,186.6,21.68
WE-1643,9620120,764803,169.53,21.76
WE-1646,9620070,764803,164.54,19.66
WE-1645,9620020,764803,167.9,19.64
WE-1664,9619972,764803,167.4,10.29
WE-1663,9622020,764850,310.35,11.2
WE-1666,9621970,764850,289.61,19.94
WE-1665,9621920,764850,305.89,22.04
WE-1668,9621870,764850,329.9,9.4
WE-1667,9621820,764850,304.2,19.88
WE-1670,9621770,764850,276.69,14.2
WE-1669,9621720,764850,288.21,16.02
WE-1656,9621670,764850,287.36,24.68
WE-1655,9621620,764850,267.27,24.5
WE-1658,9621570,764850,243.26,10.33
WE-1657,9621520,764850,220.49,14.02
WE-1660,9621470,764850,201.98,15.86
WE-1659,9621420,764850,198.49,23.93
WE-1662,9621370,764850,191.56,23.95
WE-1661,9621320,764850,188.79,9.81
WE-1616,9621270,764850,193.61,10.3
WE-1615,9621220,764850,185.36,15.03
WE-1618,9621170,764850,168.96,11.33
WE-1617,9621120,764850,178.57,19.38
WE-1620,9621070,764850,186.95,23.58
WE-1619,9621020,764850,194.3,18.44
WE-1622,9620970,764850,172.98,20.61
WE-1621,9620920,764850,146.71,15.3
WE-1608,9620870,764850,148.66,21.81
WE-1607,9620820,764850,163.67,23.25
WE-1610,9620770,764850,183.93,21.88
WE-1609,9620720,764850,171.81,22.23
WE-1612,9620670,764850,159.96,24.78
WE-1611,9620620,764850,174.49,24.36
WE-1614,9620570,764850,186.67,13.38
WE-1613,9620520,764850,169.32,18.49
WE-1632,9620470,764850,173.96,16.06
WE-1631,9620420,764850,168.4,14.6
WE-1634,9620370,764850,177.73,24.4
WE-1633,9620320,764850,199.24,11.18
WE-1636,9620270,764850,227.43,22.37
WE-1635,9620220,764850,219.44,18.71
WE-1638,9620170,764850,199.68,15.54
WE-1637,9620120,764850,184.95,22.85
WE-1624,9620070,764850,189.35,16.49
WE-1623,9620020,764850,188.11,24.78
WE-1626,9619972,764850,176.54,17.26
WE-1625,9622020,764900,323.18,21.26
WE-1628,9621970,764900,314.11,19.61
WE-1627,9621920,764900,305.29,16.5
WE-1630,9621870,764900,332.98,18.42
WE-1629,9621820,764900,319.33,20.9
WE-1584,9621770,764900,307.34,23.62
WE-1583,9621720,764900,307.28,15.7
WE-1586,9621670,764900,285.24,17.22
WE-1585,9621620,764900,258.24,18.0
WE-1588,9621570,764900,236.14,9.98
WE-1587,9621520,764900,219.1,17.23
WE-1590,9621470,764900,207.85,20.8
WE-1589,9621420,764900,220.55,20.58
WE-1576,9621370,764900,208.42,19.49
WE-1575,9621320,764900,208.84,22.72
WE-1578,9621270,764900,207.08,24.59
WE-1577,9621220,764900,199.68,20.71
WE-1580,9621170,764900,188.63,18.99
WE-1579,9621120,764900,189.05,19.95
WE-1582,9621070,764900,206.02,18.26
WE-1581,9621020,764900,202.98,15.0
WE-1600,9620970,764900,179.64,15.2
WE-1599,9620920,764900,155.39,23.67
WE-1602,9620870,764900,161.87,12.29
WE-1601,9620820,764900,172.01,10.29
WE-1604,9620770,764900,188.79,24.23
WE-1603,9620720,764900,189.42,24.77
WE-1606,9620670,764900,182.93,23.41
WE-1605,9620620,764900,190.91,17.14
WE-1592,9620570,764900,208.52,21.47
WE-1591,9620520,764900,195.47,23.8
WE-1594,9620470,764900,192.15,16.54
WE-1593,9620420,764900,191.12,21.98
WE-1596,9620370,764900,194.75,18.05
WE-1595,9620320,764900,207.7,11.37
WE-1598,9620270,764900,237.01,23.2
WE-1597,9620220,764900,233.44,22.57
WE-1552,9620170,764900,219.68,23.72
WE-1551,9620120,764900,216.36,18.95
WE-1554,9620070,764900,213.59,24.08
WE-1553,9620020,764900,204.48,24.12
WE-1556,9619972,764900,190.31,18.61
WE-1555,9622020,764950,343.54,20.33
WE-1558,9621970,764950,343.57,22.82
WE-1557,9621920,764950,326.8,18.99
WE-1544,9621870,764950,334.6,22.1
WE-1543,9621820,764950,338.07,16.06
WE-1546,9621770,764950,330.15,12.02
WE-1545,9621720,764950,310.03,19.23
WE-1548,9621670,764950,287.52,20.55
WE-1547,9621620,764950,263.08,9.9
WE-1550,9621570,764950,246.63,10.26
WE-1549,9621520,764950,231.54,21.79
WE-1568,9621470,764950,226.31,21.27
WE-1567,9621420,764950,240.75,21.33
WE-1570,9621370,764950,236.12,11.08
WE-1569,9621320,764950,230.01,21.54
WE-1572,9621270,764950,222.05,22.05
WE-1571,9621220,764950,215.41,18.66
WE-1574,9621170,764950,206.84,23.8
WE-1573,9621120,764950,201.87,17.95
WE-1560,9621070,764950,222.22,12.17
WE-1559,9621020,764950,199.7,13.34
WE-1562,9620970,764950,178.89,21.75
WE-1561,9620920,764950,173.45,15.23
WE-1564,9620870,764950,184.2,23.31
WE-1563,9620820,764950,189.12,17.41
WE-1566,9620770,764950,203.06,14.13
WE-1565,9620720,764950,206.24,16.84
WE-1520,9620670,764950,203.2,9.09
WE-1519,9620620,764950,209.05,20.15
WE-1522,9620570,764950,214.75,20.42
WE-1521,9620520,764950,213.22,22.51
WE-1524,9620470,764950,215.22,18.87
WE-1523,9620420,764950,215.61,24.17
WE-1526,9620370,764950,228.34,15.57
WE-1525,9620320,764950,233.0,23.89
WE-1512,9620270,764950,254.84,21.54
WE-1511,9620220,764950,251.86,14.55
WE-1514,9620170,764950,239.96,18.6
WE-1513,9620120,764950,238.19,22.62
WE-1516,9620070,764950,239.44,22.09
WE-1515,9620020,764950,222.07,24.22
WE-1518,9619972,764950,200.57,24.16
WE-1517,9622020,765000,354.58,9.07
WE-1536,9621970,765000,373.3,18.76
WE-1535,9621920,765000,353.8,15.31
WE-1538,9621870,765000,350.63,20.51
WE-1537,9621820,765000,356.38,19.53
WE-1540,9621770,765000,332.3,13.08
WE-1539,9621720,765000,311.69,19.91
WE-1542,9621670,765000,288.2,12.95
WE-1541,9621620,765000,279.09,24.02
WE-1528,9621570,765000,275.72,22.97
WE-1527,9621520,765000,256.5,18.61
WE-1530,9621470,765000,257.35,21.58
WE-1529,9621420,765000,260.85,10.01
WE-1532,9621370,765000,265.54,23.37
WE-1531,9621320,765000,242.86,15.94
WE-1534,9621270,765000,233.77,18.06
WE-1533,9621220,765000,223.81,24.95
WE-1488,9621170,765000,222.22,17.49
WE-1487,9621120,765000,228.81,21.04
WE-1490,9621070,765000,231.49,17.39
WE-1489,9621020,765000,203.28,24.04
WE-1492,9620970,765000,184.1,20.87
WE-1491,9620920,765000,195.65,22.6
WE-1494,9620870,765000,206.91,13.43
WE-1493,9620820,765000,207.74,12.9
WE-1480,9620770,765000,212.56,13.55
WE-1479,9620720,765000,224.32,24.64
WE-1482,9620670,765000,223.44,20.18
WE-1481,9620620,765000,230.46,23.86
WE-1484,9620570,765000,229.0,22.25
WE-1483,9620520,765000,229.19,21.02
WE-1486,9620470,765000,243.26,17.14
WE-1485,9620420,765000,252.92,18.88
WE-1504,9620370,765000,265.34,18.35
WE-1503,9620320,765000,270.32,24.27
WE-1506,9620270,765000,273.56,18.71
WE-1505,9620220,765000,270.84,21.19
WE-1508,9620170,765000,260.69,24.07
WE-1507,9620120,765000,251.1,22.03
WE-1510,9620070,765000,243.49,17.03
WE-1509,9620020,765000,231.44,18.67
WE-1496,9619972,765000,206.78,15.78
WE-1495,9622020,765050,361.81,19.71
WE-1498,9621970,765050,387.65,22.4
WE-1497,9621920,765050,372.94,17.15
WE-1500,9621870,765050,370.82,23.57
WE-1499,9621820,765050,366.76,16.53
WE-1502,9621770,765050,342.68,23.16
WE-1501,9621720,765050,324.36,22.37
WE-1456,9621670,765050,317.54,13.25
WE-1455,9621620,765050,310.04,23.25
WE-1458,9621570,765050,295.86,16.69
WE-1457,9621520,765050,292.91,24.6
WE-1460,9621470,765050,287.53,19.89
WE-1459,9621420,765050,286.11,21.31
WE-1462,9621370,765050,284.41,16.29
WE-1461,9621320,765050,265.04,24.31
WE-1448,9621270,765050,253.35,12.28
WE-1447,9621220,765050,243.13,22.95
WE-1450,9621170,765050,251.28,22.21
WE-1449,9621120,765050,256.96,19.48
WE-1452,9621070,765050,235.02,18.45
WE-1451,9621020,765050,211.34,19.27
WE-1454,9620970,765050,203.19,22.84
WE-1453,9620920,765050,207.99,15.98
WE-1472,9620870,765050,224.16,16.66
WE-1471,9620820,765050,229.69,22.36
WE-1474,9620770,765050,233.58,24.58
WE-1473,9620720,765050,243.75,23.23
WE-1476,9620670,765050,245.5,21.46
WE-1475,9620620,765050,250.21,23.61
WE-1478,9620570,765050,249.04,23.35
WE-1477,9620520,765050,246.57,16.63
WE-1464,9620470,765050,249.0,15.84
WE-1463,9620420,765050,272.24,17.49
WE-1466,9620370,765050,294.53,15.87
WE-1465,9620320,765050,303.82,17.27
WE-1468,9620270,765050,304.06,15.54
WE-1467,9620220,765050,292.02,19.02
WE-1470,9620170,765050,271.24,19.23
WE-1469,9620120,765050,252.73,18.37
WE-1424,9620070,765050,240.43,22.09
WE-1423,9620020,765050,221.66,12.48
WE-1426,9619972,765050,192.41,11.87
WE-1425,9622020,765100,364.46,16.53
WE-1428,9621970,765100,394.28,15.26
WE-1427,9621920,765100,396.22,17.17
WE-1430,9621870,765100,391.74,19.59
WE-1429,9621820,765100,369.54,17.59
WE-1416,9621770,765100,358.51,23.83
WE-1415,9621720,765100,353.53,17.66
WE-1418,9621670,765100,344.12,15.33
WE-1417,9621620,765100,330.47,22.82
WE-1420,9621570,765100,323.7,24.03
WE-1419,9621520,765100,327.83,14.61
WE-1422,9621470,765100,311.47,20.3
WE-1421,9621420,765100,307.96,23.77
WE-1440,9621370,765100,296.64,16.85
WE-1439,9621320,765100,281.63,17.72
WE-1442,9621270,765100,267.55,17.97
WE-1441,9621220,765100,269.72,21.8
WE-1444,9621170,765100,275.89,21.57
WE-1443,9621120,765100,274.48,18.78
WE-1446,9621070,765100,246.0,20.89
WE-1445,9621020,765100,224.25,22.21
WE-1432,9620970,765100,231.17,10.72
WE-1431,9620920,765100,232.13,16.53
WE-1434,9620870,765100,241.24,14.73
WE-1433,9620820,765100,253.52,18.13
WE-1436,9620770,765100,249.17,18.47
WE-1435,9620720,765100,264.9,21.22
WE-1438,9620670,765100,269.85,15.95
WE-1437,9620620,765100,273.49,22.63
WE-1392,9620570,765100,270.9,17.17
WE-1391,9620520,765100,258.71,16.26
WE-1394,9620470,765100,260.55,18.79
WE-1393,9620420,765100,292.75,24.67
WE-1396,9620370,765100,316.88,23.44
WE-1395,9620320,765100,328.0,23.54
WE-1398,9620270,765100,322.19,24.23
WE-1397,9620220,765100,302.55,18.0
WE-1384,9620170,765100,277.26,24.67
WE-1383,9620120,765100,253.91,9.14
WE-1386,9620070,765100,233.98,19.13
WE-1385,9620020,765100,207.99,18.03
WE-1388,9619972,765100,181.0,23.16
WE-1387,9622020,765150,377.16,19.72
WE-1390,9621970,765150,400.25,21.99
WE-1389,9621920,765150,422.83,22.75
WE-1408,9621870,765150,411.51,16.45
WE-1407,9621820,765150,385.55,19.9
WE-1410,9621770,765150,386.85,20.38
WE-1409,9621720,765150,379.19,19.96
WE-1412,9621670,765150,365.11,20.1
WE-1411,9621620,765150,355.81,22.57
WE-1414,9621570,765150,348.87,22.86
WE-1413,9621520,765150,355.59,17.69
WE-1400,9621470,765150,333.5,11.94
WE-1399,9621420,765150,334.42,22.41
WE-1402,9621370,765150,320.08,16.71
WE-1401,9621320,765150,305.28,18.3
WE-1404,9621270,765150,293.84,24.38
WE-1403,9621220,765150,300.3,21.29
WE-1406,9621170,765150,301.31,14.9
WE-1405,9621120,765150,281.27,23.44
WE-1360,9621070,765150,258.73,15.87
WE-1359,9621020,765150,251.17,23.14
WE-1362,9620970,765150,258.26,21.94
WE-1361,9620920,765150,255.27,19.21
WE-1364,9620870,765150,261.93,21.33
WE-1363,9620820,765150,273.88,20.35
WE-1366,9620770,765150,272.76,22.17
WE-1365,9620720,765150,286.12,23.17
WE-1352,9620670,765150,299.45,23.94
WE-1351,9620620,765150,304.98,16.84
WE-1354,9620570,765150,296.56,20.21
WE-1353,9620520,765150,285.76,20.99
WE-1356,9620470,765150,287.89,15.7
WE-1355,9620420,765150,307.58,17.74
WE-1358,9620370,765150,335.27,18.98
WE-1357,9620320,765150,333.59,16.06
WE-1376,9620270,765150,323.42,18.91
WE-1375,9620220,765150,305.04,22.53
WE-1378,9620170,765150,284.52,23.12
WE-1377,9620120,765150,248.58,10.3
WE-1380,9620070,765150,226.49,16.53
WE-1379,9620020,765150,204.32,14.09
WE-1382,9619972,765150,184.06,18.15
WE-1381,9622020,765200,400.3,19.82
WE-1368,9621970,765200,410.19,18.67
WE-1367,9621920,765200,437.72,15.41
WE-1370,9621870,765200,430.55,23.21
WE-1369,9621820,765200,407.05,22.78
WE-1372,9621770,765200,404.55,17.42
WE-1371,9621720,765200,393.92,21.38
WE-1374,9621670,765200,397.11,19.29
WE-1373,9621620,765200,379.27,21.52
WE-1328,9621570,765200,375.04,14.34
WE-1327,9621520,765200,377.98,24.46
WE-1330,9621470,765200,360.64,17.67
WE-1329,9621420,765200,356.14,13.51
WE-1332,9621370,765200,350.95,15.9
WE-1331,9621320,765200,333.3,22.27
WE-1334,9621270,765200,325.22,22.28
WE-1333,9621220,765200,330.55,20.98
WE-1320,9621170,765200,316.33,13.89
WE-1319,9621120,765200,291.03,22.7
WE-1322,9621070,765200,282.85,24.41
WE-1321,9621020,765200,281.2,10.12
WE-1324,9620970,765200,285.85,18.61
WE-1323,9620920,765200,277.31,16.79
WE-1326,9620870,765200,281.96,20.67
WE-1325,9620820,765200,291.47,23.86
WE-1344,9620770,765200,302.3,15.47
WE-1343,9620720,765200,311.49,12.25
WE-1346,9620670,765200,323.64,24.29
WE-1345,9620620,765200,332.86,20.75
WE-1348,9620570,765200,327.78,19.85
WE-1347,9620520,765200,320.43,24.93
WE-1350,9620470,765200,317.78,10.58
WE-1349,9620420,765200,322.08,11.11
WE-1336,9620370,765200,324.32,20.49
WE-1335,9620320,765200,310.01,23.61
WE-1338,9620270,765200,308.74,18.63
WE-1337,9620220,765200,307.16,19.13
WE-1340,9620170,765200,295.19,22.04
WE-1339,9620120,765200,264.89,21.04
WE-1342,9620070,765200,235.85,20.09
WE-1341,9620020,765200,214.38,21.22
WE-1296,9619972,765200,203.37,21.26
WE-1295,9622020,765250,430.74,20.07
WE-1298,9621970,765250,438.77,18.29
WE-1297,9621920,765250,455.59,19.46
WE-1300,9621870,765250,435.44,12.22
WE-1299,9621820,765250,427.13,16.68
WE-1302,9621770,765250,424.27,18.19
WE-1301,9621720,765250,425.89,24.89
WE-1288,9621670,765250,424.87,14.95
WE-1287,9621620,765250,398.8,17.87
WE-1290,9621570,765250,406.79,16.96
WE-1289,9621520,765250,408.19,20.27
WE-1292,9621470,765250,392.38,17.18
WE-1291,9621420,765250,382.72,16.42
WE-1294,9621370,765250,373.28,19.9
WE-1293,9621320,765250,356.71,18.74
WE-1312,9621270,765250,357.61,19.59
WE-1311,9621220,765250,349.61,21.48
WE-1314,9621170,765250,325.28,24.88
WE-1313,9621120,765250,311.81,16.64
WE-1316,9621070,765250,304.6,22.66
WE-1315,9621020,765250,307.65,22.12
WE-1318,9620970,765250,300.54,16.57
WE-1317,9620920,765250,296.18,9.09
WE-1304,9620870,765250,307.39,11.55
WE-1303,9620820,765250,312.68,18.57
WE-1306,9620770,765250,324.95,23.59
WE-1305,9620720,765250,341.13,18.33
WE-1308,9620670,765250,346.89,9.69
WE-1307,9620620,765250,356.03,18.24
WE-1310,9620570,765250,343.75,17.56
WE-1309,9620520,765250,325.49,16.98
WE-2287,9620470,765250,315.06,18.05
WE-2286,9620420,765250,312.69,19.49
WE-2289,9620370,765250,301.8,23.25
WE-2288,9620320,765250,278.48,15.58
WE-2291,9620270,765250,278.87,20.08
WE-2290,9620220,765250,283.67,19.37
WE-2293,9620170,765250,280.72,24.68
WE-2292,9620120,765250,265.47,18.07
WE-2279,9620070,765250,250.35,12.64
WE-2278,9620020,765250,236.71,22.86
WE-2281,9619972,765250,219.67,22.23
WE-2280,9622020,765300,453.88,22.25
WE-2283,9621970,765300,473.78,13.15
WE-2282,9621920,765300,474.4,16.64
WE-2285,9621870,765300,454.29,10.99
WE-2284,9621820,765300,459.03,15.18
WE-2303,9621770,765300,460.81,14.08
WE-2302,9621720,765300,463.98,22.65
WE-2305,9621670,765300,447.03,20.34
WE-2304,9621620,765300,431.65,24.95
WE-2307,9621570,765300,439.65,22.5
WE-2306,9621520,765300,436.08,15.53
WE-2309,9621470,765300,423.45,16.57
WE-2308,9621420,765300,411.02,20.43
WE-2295,9621370,765300,392.58,16.06
WE-2294,9621320,765300,380.23,15.18
WE-2297,9621270,765300,384.2,18.7
WE-2296,9621220,765300,363.81,23.55
WE-2299,9621170,765300,346.28,15.97
WE-2298,9621120,765300,332.54,19.29
WE-2301,9621070,765300,333.77,14.71
WE-2300,9621020,765300,333.47,21.68
WE-2255,9620970,765300,323.19,9.94
WE-2254,9620920,765300,323.58,17.31
WE-2257,9620870,765300,335.95,23.5
WE-2256,9620820,765300,340.38,11.5
WE-2259,9620770,765300,352.58,17.15
WE-2258,9620720,765300,362.95,24.06
WE-2261,9620670,765300,363.74,22.12
WE-2260,9620620,765300,350.39,11.56
WE-2247,9620570,765300,327.56,23.19
WE-2246,9620520,765300,311.51,17.5
WE-2249,9620470,765300,290.42,20.77
WE-2248,9620420,765300,284.37,13.03
WE-2251,9620370,765300,279.35,22.81
WE-2250,9620320,765300,261.33,22.7
WE-2253,9620270,765300,260.22,19.62
WE-2252,9620220,765300,255.33,18.76
WE-2271,9620170,765300,249.22,9.6
WE-2270,9620120,765300,242.0,24.8
WE-2273,9620070,765300,238.29,18.61
WE-2272,9620020,765300,258.07,23.46
WE-2275,9619972,765300,233.26,16.23
WE-2274,9622020,765350,481.65,17.09
WE-2277,9621970,765350,500.33,20.9
WE-2276,9621920,765350,499.75,19.92
WE-2263,9621870,765350,486.76,16.3
WE-2262,9621820,765350,492.94,21.93
WE-2265,9621770,765350,497.81,24.19
WE-2264,9621720,765350,494.67,17.25
WE-2267,9621670,765350,468.69,21.23
WE-2266,9621620,765350,462.52,21.85
WE-2269,9621570,765350,473.67,15.8
WE-2268,9621520,765350,469.49,16.32
WE-2223,9621470,765350,459.07,18.64
WE-2222,9621420,765350,441.81,14.03
WE-2225,9621370,765350,419.28,19.18
WE-2224,9621320,765350,412.87,17.46
WE-2227,9621270,765350,409.72,18.25
WE-2226,9621220,765350,381.08,18.02
WE-2229,9621170,765350,373.27,24.37
WE-2228,9621120,765350,351.75,19.28
WE-2215,9621070,765350,367.34,21.78
WE-2214,9621020,765350,360.57,15.36
WE-2217,9620970,765350,356.81,9.15
WE-2216,9620920,765350,354.1,18.99
WE-2219,9620870,765350,360.25,19.84
WE-2218,9620820,765350,354.12,23.85
WE-2221,9620770,765350,359.0,22.51
WE-2220,9620720,765350,348.75,22.43
WE-2239,9620670,765350,346.29,22.43
WE-2238,9620620,765350,334.88,17.99
WE-2241,9620570,765350,313.33,14.29
WE-2240,9620520,765350,293.15,21.98
WE-2243,9620470,765350,275.5,17.37
WE-2242,9620420,765350,263.65,19.47
WE-2245,9620370,765350,256.63,9.54
WE-2244,9620320,765350,245.44,17.64
WE-2231,9620270,765350,239.49,18.63
WE-2230,9620220,765350,232.01,23.57
WE-2233,9620170,765350,230.77,15.9
WE-2232,9620120,765350,222.44,20.17
WE-2235,9620070,765350,221.67,24.66
WE-2234,9620020,765350,240.3,16.96
WE-2237,9619972,765350,239.53,23.66
WE-2236,9622020,765400,495.2,16.08
WE-2191,9621970,765400,517.03,24.95
WE-2190,9621920,765400,520.4,24.81
WE-2193,9621870,765400,517.29,16.47
WE-2192,9621820,765400,525.71,22.84
WE-2195,9621770,765400,528.92,16.69
WE-2194,9621720,765400,511.49,22.24
WE-2197,9621670,765400,493.88,17.07
WE-2196,9621620,765400,502.51,21.77
WE-2183,9621570,765400,502.54,23.75
WE-2182,9621520,765400,504.01,11.02
WE-2185,9621470,765400,484.1,18.96
WE-2184,9621420,765400,473.37,15.37
WE-2187,9621370,765400,454.55,20.1
WE-2186,9621320,765400,444.38,16.93
WE-2189,9621270,765400,432.84,24.52
WE-2188,9621220,765400,412.57,24.6
WE-2207,9621170,765400,397.85,16.88
WE-2206,9621120,765400,381.35,21.34
WE-2209,9621070,765400,397.19,17.38
WE-2208,9621020,765400,389.03,24.78
WE-2211,9620970,765400,388.45,16.66
WE-2210,9620920,765400,381.45,15.44
WE-2213,9620870,765400,374.79,11.75
WE-2212,9620820,765400,358.12,22.3
WE-2199,9620770,765400,345.7,19.77
WE-2198,9620720,765400,332.04,20.17
WE-2201,9620670,765400,321.48,22.47
WE-2200,9620620,765400,308.81,16.33
WE-2203,9620570,765400,296.97,15.3
WE-2202,9620520,765400,284.99,17.62
WE-2205,9620470,765400,261.02,23.68
WE-2204,9620420,765400,251.95,15.33
WE-2159,9620370,765400,237.81,21.76
WE-2158,9620320,765400,227.87,22.83
WE-2161,9620270,765400,219.99,17.2
WE-2160,9620220,765400,219.64,12.14
WE-2163,9620170,765400,208.05,17.28
WE-2162,9620120,765400,204.49,20.13
WE-2165,9620070,765400,208.86,12.0
WE-2164,9620020,765400,226.84,18.47
WE-2151,9619972,765400,241.69,19.57
WE-2150,9622020,765450,473.59,19.09
WE-2153,9621970,765450,505.9,13.17
WE-2152,9621920,765450,502.38,18.88
WE-2155,9621870,765450,509.63,10.5
WE-2154,9621820,765450,523.67,10.45
WE-2157,9621770,765450,544.12,17.09
WE-2156,9621720,765450,529.74,17.57
WE-2175,9621670,765450,524.95,15.9
WE-2174,9621620,765450,538.75,11.05
WE-2177,9621570,765450,537.62,22.79
WE-2176,9621520,765450,529.32,9.01
WE-2179,9621470,765450,524.16,24.67
WE-2178,9621420,765450,512.42,15.34
WE-2181,9621370,765450,496.11,16.45
WE-2180,9621320,765450,482.31,22.82
WE-2167,9621270,765450,454.73,21.25
WE-2166,9621220,765450,439.28,17.63
